Item Code,Item Name,Item Group Name,Service Type,UOM,Price
100203,LADIES SUIT (3PCS),Gent & Ladies,Pressing Only,PCS,12.00
100203,LADIES SUIT (3PCS),Gent & Ladies,Washing & Pressing,PCS,18.00
100185,LUNGI,Gent & Ladies,Dry Cleaning,PCS,10.00
100185,LUNGI,Gent & Ladies,Pressing Only,PCS,4.00
100185,LUNGI,Gent & Ladies,Washing & Pressing,PCS,8.00
100051,MILITARY UNIFORM,Gent & Ladies,Dry Cleaning,PCS,16.00
100051,MILITARY UNIFORM,Gent & Ladies,Pressing Only,PCS,9.00
100051,MILITARY UNIFORM,Gent & Ladies,Washing & Pressing,PCS,14.00
100015,OVERALL,Gent & Ladies,Dry Cleaning,PCS,10.00
100015,OVERALL,Gent & Ladies,Pressing Only,PCS,6.00
100015,OVERALL,Gent & Ladies,Washing & Pressing,PCS,8.00
100016,OVERCOAT,Gent & Ladies,Dry Cleaning,PCS,23.00
100016,OVERCOAT,Gent & Ladies,Pressing Only,PCS,11.00
100016,OVERCOAT,Gent & Ladies,Washing & Pressing,PCS,13.00
100045,PLEATED SKIRT,Gent & Ladies,Dry Cleaning,PCS,22.00
100045,PLEATED SKIRT,Gent & Ladies,Pressing Only,PCS,10.00
100045,PLEATED SKIRT,Gent & Ladies,Washing & Pressing,PCS,16.00
100036,PULLOVER,Gent & Ladies,Dry Cleaning,PCS,8.00
100036,PULLOVER,Gent & Ladies,Pressing Only,PCS,4.00
100036,PULLOVER,Gent & Ladies,Washing & Pressing,PCS,6.00
100198,PYJAMA NIGHT F/M (SET),Gent & Ladies,Dry Cleaning,PCS,10.00
100198,PYJAMA NIGHT F/M (SET),Gent & Ladies,Pressing Only,PCS,4.00
100198,PYJAMA NIGHT F/M (SET),Gent & Ladies,Washing & Pressing,PCS,7.00
100133,PYJAMA TROUSER,Gent & Ladies,Dry Cleaning,PCS,5.00
100133,PYJAMA TROUSER,Gent & Ladies,Pressing Only,PCS,3.00
100133,PYJAMA TROUSER,Gent & Ladies,Washing & Pressing,PCS,5.00
100066,REFLECTOR,Gent & Ladies,Pressing Only,PCS,2.00
100066,REFLECTOR,Gent & Ladies,Washing & Pressing,PCS,4.00
100035,SAFARI SUIT,Gent & Ladies,Dry Cleaning,PCS,13.00
100035,SAFARI SUIT,Gent & Ladies,Pressing Only,PCS,8.00
100035,SAFARI SUIT,Gent & Ladies,Washing & Pressing,PCS,11.00
100048,SARI,Gent & Ladies,Dry Cleaning,PCS,15.00
100048,SARI,Gent & Ladies,Pressing Only,PCS,10.00
100048,SARI,Gent & Ladies,Washing & Pressing,PCS,12.00
100194,SARI (SPECIAL),Gent & Ladies,Dry Cleaning,PCS,20.00
100067,SCARF,Gent & Ladies,Dry Cleaning,PCS,4.00
100067,SCARF,Gent & Ladies,Pressing Only,PCS,2.00
100067,SCARF,Gent & Ladies,Washing & Pressing,PCS,3.00
100196,SHAWL,Gent & Ladies,Dry Cleaning,PCS,10.00
100058,SHEEP SKIN,Gent & Ladies,Dry Cleaning,PCS,40.00
100058,SHEEP SKIN,Gent & Ladies,Washing & Pressing,PCS,40.00
100007,SHIRT,Gent & Ladies,Dry Cleaning,PCS,6.00
100007,SHIRT,Gent & Ladies,Pressing Only,PCS,3.00
100007,SHIRT,Gent & Ladies,Washing & Pressing,PCS,5.00
100575,SHOES SPORT,Gent & Ladies,Dry Cleaning,PCS,0.00
100575,SHOES SPORT,Gent & Ladies,Washing & Pressing,PCS,0.00
100018,SHORT,Gent & Ladies,Dry Cleaning,PCS,4.00
100018,SHORT,Gent & Ladies,Pressing Only,PCS,3.00
